,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
16,60.84,12.64,22.09,64.43,13.65,23.33,105.8,100.9,45.6,0.18,0.74,0.2,7294.0
17,64.11650541325007,13.476868493888366,22.91392212886291,68.48304809812984,14.355550120438231,24.30120003316424,108.77501645121075,109.73276474589142,55.85297799301041,0.197827949047144,0.8425769782054034,0.20004025821428176,7294.0
18,70.99,16.88,25.27,74.37,17.58,26.6,122.5,88.0,63.03,0.18,0.88,0.2,7005.0
19,72.05015134090287,17.167283415217028,24.990152693804745,75.12296643678653,18.012391848663164,26.051311190877954,120.33074607864808,108.87935750299901,70.3209383267079,0.187238936646279,0.9762540097267262,0.20000986791538078,7005.0
20,63.41,17.91,20.53,68.58,18.14,21.63,139.1,111.0,59.5,0.2,0.91,0.2,7250.0
21,66.30129033452724,16.985973984586376,21.97757704566122,68.08157817995306,17.86796533128649,22.201385149149576,136.0062166270007,126.89824583656204,57.502016868151195,0.17930964452013598,0.877403713031947,0.20000076816823242,7250.0
22,74.48,21.09,23.2,78.55,22.22,24.42,147.9,140.0,107.4,0.25,1.45,0.2,7349.0
23,74.42147032915504,20.219237460615567,23.184258650281116,76.93447938632445,21.433469010768267,24.05797374025878,140.06331853590075,142.90025286756196,89.11860633255374,0.20777938353793035,1.204198405036523,0.20000002767329836,7349.0
24,66.16,16.48,20.03,64.77,17.31,20.88,127.6,140.4,51.33,0.18,0.82,0.2,7419.0
25,62.429204445293976,16.99865712750728,20.259487361075085,67.38278811284361,17.70506620887844,21.33570060703632,126.95501839693162,131.74617162048938,53.446822945237955,0.1737931005893593,0.8162411315951832,0.19999975249832164,7419.0
26,71.75,18.83,23.25,77.83,19.54,24.81,131.2,138.2,75.28,0.19,1.01,0.2,6830.0
27,72.19729783842793,18.606092753405687,23.429719355802806,75.61637493197692,19.47584520381347,24.673664850570923,134.41952131234171,136.20283103704844,75.40011162749732,0.1942527249271019,1.0500307342185722,0.2000050855220457,6830.0
28,61.09,14.26,20.8,65.55,14.96,21.91,131.9,121.1,47.099999999999994,0.18,0.75,0.2,7409.0
29,64.1709794471046,15.241664466260357,21.77073569792101,69.16845750877279,16.111030694691056,22.53067319042442,127.29583758879208,122.57091252094823,48.98985597198589,0.1765824934464243,0.7445670622911814,0.2000135392036826,7409.0
30,92.74,23.31,30.53,95.38,24.59,31.88,127.4,123.4,121.68,0.19,1.33,0.2,7271.0
31,89.33991335464545,22.571939754873014,29.515223075517916,93.27202003104334,23.767251704940332,30.747555292545293,128.82830649918486,128.8954811595624,121.94878294822597,0.20123156675656406,1.3715345864824984,0.20000573077526113,7271.0
32,81.11,19.58,27.91,85.42,20.57,29.31,122.8,121.7,93.8,0.19,1.15,0.2,6893.0
33,79.88803965478768,19.278547598557036,27.075794729856653,83.55748881973484,20.238633262646434,28.46384572345926,125.49314348058111,123.18485100226337,93.9360160950337,0.19690239091002232,1.1712831583150485,0.20000635560503152,6893.0
34,91.39,18.12,34.69,96.4,19.09,36.56,98.5,97.0,98.9,0.18,1.07,0.2,7435.0
35,90.4125208790741,18.41747358377773,33.425892012174636,94.55237575666001,19.224968692670416,35.1630698450512,98.5098749826207,95.93812151281249,91.33208024012703,0.1711708185267146,1.007197001630391,0.20001327089454202,7435.0
36,65.15,17.59,20.61,68.62,18.53,21.49,138.2,140.9,57.19,0.18,0.87,0.2,6936.0
37,65.92141443574876,17.659502954217327,21.503141884887405,69.30017918588601,18.605422666944136,22.06715019310068,137.22018285078875,136.62092763911124,70.79969965035707,0.21035537315222974,1.066349928831328,0.20000870131311702,6936.0
38,75.92,20.61,23.65,79.15,21.72,24.93,147.8,140.5,92.04,0.21,1.22,0.2,7167.0
39,76.55604865505376,20.13494979169868,24.050083992446027,79.59501813339537,21.197067612680957,25.543899854917292,138.7002755614611,137.6676876985883,84.48921982894551,0.19080460069381847,1.115014803980758,0.20000466953940677,7167.0
40,74.31,18.11,23.28,74.99,18.87,24.65,135.0,127.0,73.71,0.19,1.03,0.2,6859.0
41,72.63582614321675,18.41954761396052,23.714403486136174,76.43831002113382,19.276361688148935,25.182902414089547,130.90213711632668,128.77411232551435,73.2093430651162,0.18744467518486405,1.0064383419389928,0.2000039589833864,6859.0
42,60.74,16.56,19.61,66.21,17.19,20.46,128.2,138.7,49.91,0.18,0.78,0.2,7402.0
43,63.56443006109052,17.17306469150525,20.517176864640845,67.22175186554917,18.072441648758296,21.16799135434107,128.92961767578376,135.8718346537905,56.55768378234733,0.187633074145535,0.8734537967626111,0.19999834007978332,7402.0
44,86.26,23.02,27.75,87.94,24.17,28.05,131.3,142.7,105.34,0.19,1.25,0.2,7244.0
