,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
26,71.75,18.83,23.25,77.83,19.54,24.81,131.2,138.2,75.28,0.19,1.01,0.20000000000000004,6830.0
27,72.77647091150284,18.484002890586854,23.618413931131364,76.58591460108758,19.4250424015522,24.793202523887157,129.73606567382814,136.28319909572602,75.48552040606737,0.191615686416626,1.0226238209009169,0.20004162549972535,6830.0
28,61.09,14.26,20.8,65.55,14.96,21.91,131.9,121.10000000000001,47.1,0.18,0.75,0.20000000000000004,7409.0
29,61.98812800735236,14.656189393401148,21.197567716240883,66.45831580102444,15.440808884501457,22.18775478243828,127.92388381958008,115.64789301753045,49.14584343582391,0.18415318489074708,0.7765407192707061,0.20004080414772032,7409.0
30,92.74,23.31,30.53,95.38,24.59,31.880000000000003,127.39999999999999,123.4,121.68,0.19,1.33,0.20000000000000004,7271.0
31,91.97241971611977,22.613059117794037,30.716591312885285,95.51134721398354,23.792250868082046,32.279264736175534,125.27728576660157,125.14770971536637,123.03428607583045,0.20117562770843506,1.3781067478656768,0.19994890749454497,7271.0
32,81.11,19.58,27.910000000000004,85.42,20.57,29.31,122.8,121.7,93.8,0.19,1.15,0.20000000000000004,6893.0
33,80.24388629436494,19.60107948720455,26.93263115286827,84.08102902173997,20.598960951566696,28.315052676200867,123.6980079650879,122.48537892103195,95.21979217529297,0.20150421619415285,1.1841423380374907,0.19994849503040313,6893.0
34,91.39,18.12,34.69,96.4,19.090000000000003,36.56,98.5,97.0,98.9,0.18,1.07,0.20000000000000004,7435.0
35,90.09346408724785,18.183319515883923,33.2077659881115,94.95669311523437,19.116112992465496,35.00948455572128,101.71004467010499,96.42387347221376,96.84489395916461,0.17694079637527466,1.0698138552904128,0.2000221848487854,7435.0
36,65.15,17.59,20.61,68.62,18.53,21.49,138.2,140.9,57.19,0.18,0.8700000000000001,0.20000000000000004,6936.0
37,66.58891537487507,17.69984975993633,21.00013769924641,69.83931459903718,18.66433420598507,22.047415282130242,134.25140151977538,134.8373216867447,67.06435032188892,0.19557535409927368,0.9866414326429366,0.19992987155914305,6936.0
38,75.92,20.61,23.65,79.15,21.72,24.93,147.8,140.5,92.04,0.21000000000000002,1.22,0.20000000000000004,7167.0
39,75.16485842943192,19.44308269560337,24.14785499483347,78.01968389987945,20.483199414014816,25.203700929284096,134.9933048248291,129.7445083618164,81.80200562179088,0.1921986198425293,1.0863937008380888,0.19989484906196595,7167.0
40,74.31,18.11,23.28,74.99,18.87,24.65,135.0,127.0,73.71,0.19,1.03,0.20000000000000004,6859.0
41,72.33539350807668,18.136082028746603,23.759251697957517,75.87945275306703,19.081591010689735,24.787276890277862,132.34086990356445,126.14995118379593,73.74192959368229,0.1921785569190979,1.0077047514915465,0.19997938871383666,6859.0
42,60.739999999999995,16.56,19.61,66.21,17.19,20.46,128.2,138.7,49.910000000000004,0.18,0.78,0.20000000000000004,7402.0
43,61.78053299546242,16.578999021053313,19.53993186235428,66.14476190239192,17.42211163431406,20.744902173727752,127.76390914916993,134.56551133990288,50.58987120091915,0.17865038871765138,0.8011080372333526,0.19992828845977784,7402.0
44,86.26,23.02,27.750000000000004,87.94,24.17,28.05,131.3,142.7,105.34,0.19,1.25,0.20000000000000004,7244.0
