line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
1097,7169,73.07,20.29,22.57,76.97,21.35,23.78,141.40,142.40,80.40,0.19,1.09,0.20
1409,7171,83.19,20.92,27.75,87.18,22.08,29.25,130.40,129.40,100.26,0.19,1.20,0.20
1069,7173,57.27,14.89,9.34,60.68,15.66,20.43,126.80,120.90,49.08,0.20,0.85,0.20
1099,7179,85.18,20.53,28.07,86.63,21.35,29.31,125.60,128.90,99.40,0.19,1.20,0.20
1045,7184,85.19,19.92,27.86,84.92,20.77,28.92,119.10,125.30,94.82,0.19,1.17,0.20
1052,7186,85.62,16.19,32.59,89.89,17.05,34.14,100.00,80.70,73.11,0.16,0.84,0.20
1053,7189,87.24,20.9,28.41,89.65,22.02,29.67,127.10,134.10,103.88,0.19,1.21,0.20
1254,7190,68.45,18.65,21.64,72.70,19.71,22.83,136.20,142.70,64.68,0.18,0.93,0.20
1632,7191,96.16,23.23,32.94,101.40,24.45,34.75,127.60,119.30,133.61,0.19,1.38,0.20
1086,7192,64.93,18.2,19.16,67.01,19.06,20.21,146.50,141.60,60.80,0.20,0.95,0.20
1635,7198,83.67,20.37,28.28,87.42,21.46,29.84,128.50,120.20,101.36,0.19,1.21,0.20
1184,7203,78.58,16.53,28.58,80.35,17.45,29.98,104.20,88.40,79.31,0.19,1.03,0.20
1284,7205,64.07,16.83,19.79,65.93,17.61,20.71,133.60,133.70,35.80,0.12,0.56,0.20
1250,7217,87.65,16.29,33.58,92.38,17.17,35.39,86.40,101.60,98.99,0.19,1.12,0.20
1443,7220,63.78,13.71,23.52,67.81,14.46,24.81,105.10,106.90,46.17,0.16,0.70,0.20
1072,7221,72.26,19.87,22.27,75.26,20.85,23.42,138.50,152.20,76.09,0.19,1.06,0.20
1472,7223,75.88,18.3,24.31,76.63,19.23,25.54,126.10,131.90,77.54,0.19,1.06,0.20
1255,7225,84.29,20.21,28.2,87.31,21.24,29.59,126.00,121.50,98.95,0.19,1.18,0.20
1257,7232,68.26,16.11,22.99,70.47,16.80,24.17,122.10,109.00,57.55,0.18,0.85,0.20
1638,7237,71.41,17.7,23.52,74.70,18.95,24.70,133.40,127.50,74.12,0.19,1.04,0.20
1093,7239,69.88,19.21,22.01,73.11,20.21,23.11,138.00,141.10,73.06,0.19,1.04,0.20
1283,7241,64.88,17.57,19.95,67.75,18.45,21.05,141.70,140.70,62.48,0.20,0.96,0.20
1265,7242,83.04,18.63,30.22,87.04,19.59,31.74,107.00,101.20,77.72,0.16,0.93,0.20
919,7244,86.26,23.02,27.75,87.94,24.17,28.05,131.30,142.70,105.34,0.19,1.25,0.20
1276,7248,84.45,21.09,28.78,88.84,22.22,30.34,121.50,121.00,104.42,0.19,1.23,0.20
170,7250,63.41,17.91,20.53,68.58,18.14,21.63,139.10,111.00,59.50,0.20,0.91,0.20
169,7251,59.09,17.11,17.91,62.89,18.06,18.87,147.20,151.80,53.43,0.20,0.89,0.20
1352,7252,81.37,18.78,28.95,85.24,19.79,30.48,122.30,87.90,90.38,0.19,1.11,0.20
1356,7255,71.19,15.66,25.35,74.24,16.50,26.66,115.80,113.30,77.31,0.21,1.09,0.20
